"FIPS","x","y","caves","WNS","tau"
51167,1221714.453508,25983.065931,217,5,223.6666667
51169,1181261.6219,-4565.382051,353,Inf,211
51171,1488921.703712,287490.552499,85,Inf,234
51173,1272826.5243,23025.566047,162,3,237.125
51175,1660799.185271,77979.644964,0,Inf,181.5
51177,1581130.633265,229647.168466,0,Inf,196.6666667
51179,1595141.885875,258103.60701,0,Inf,204.5
51181,1669579.331188,125471.455046,0,Inf,173.8333333
51183,1641640.024442,96493.087687,0,Inf,185.8888889
51185,1265588.774095,54611.720485,128,4,242
51187,1518593.349901,300978.254628,70,Inf,212.75
51191,1238219.014931,5101.969742,188,Inf,225.5
51193,1658711.214907,235825.516264,0,Inf,169
51195,1174763.977302,24218.319156,114,5,195.5
51197,1311287.978061,38429.240106,73,Inf,243.1111111
51199,1698415.481118,144392.349297,0,Inf,164
51510,1616174.433262,308167.35313,0,Inf,NA
51515,1438963.090627,106851.838872,0,Inf,NA
51520,1221691.428445,-7985.486341,0,Inf,NA
51530,1442866.969512,153575.731695,0,Inf,NA
51540,1514052.139085,200231.623648,0,Inf,NA
51550,1730528.488028,87464.15127,0,Inf,190.1666667
51570,1623135.924125,132928.935841,0,Inf,174
51580,1390470.645513,148746.222581,0,Inf,228
51590,1463333.734185,26016.999469,0,Inf,NA
51595,1623299.52629,66801.286737,0,Inf,187
51600,1595464.297339,307939.416342,0,Inf,NA
51610,1604020.227427,313337.517035,0,Inf,NA
51620,1675398.089519,76376.861692,0,Inf,NA
51630,1593450.751973,246680.565405,0,Inf,NA
51640,1330005.488431,12243.809204,0,Inf,NA
51650,1719596.991039,127909.911829,0,Inf,133
51660,1472769.110058,237815.438056,0,Inf,220
51670,1632353.187989,137123.074452,0,Inf,168
51678,1434908.6386,158745.323036,0,Inf,231
51680,1466199.796793,118622.266304,0,Inf,210
51683,1582197.957427,292739.915882,0,Inf,NA
51685,1586224.113705,297550.74192,0,Inf,192
51690,1422060.312199,29225.987775,0,Inf,NA
51700,1703798.511029,129670.996419,0,Inf,148
51710,1730995.461086,111352.376763,0,Inf,150
51720,1175860.431421,21107.64061,0,Inf,NA
51730,1625671.874095,126245.765182,0,Inf,189
51735,1716666.899286,138847.94441,0,Inf,141
51740,1722319.443502,106815.228376,0,Inf,NA
51750,1353430.060445,68054.826651,0,Inf,NA
51760,1610743.841642,159813.268253,0,Inf,192
51770,1402381.414122,93663.554797,0,Inf,203
51775,1393634.874245,92936.760079,0,Inf,NA
51790,1462432.109299,204558.586946,0,Inf,221
51800,1702442.55292,84248.92044,0,Inf,178.7777778
51810,1751968.308036,98558.957807,0,Inf,168.8571429
51820,1476294.544551,197485.393508,0,Inf,NA
51830,1683131.195001,146197.870518,0,Inf,169
51840,1516868.961477,329968.03943,0,Inf,223
53001,-1708004.80075,1262737.435165,1,Inf,281
53003,-1626028.51031,1153894.16369,0,Inf,274.6153846
53005,-1799526.01468,1200121.543447,0,Inf,245.2
53007,-1835408.30652,1397299.517662,1,Inf,294.3684211
53009,-2070723.49911,1483619.601276,3,Inf,278.4705882
53011,-2034445.93722,1210766.279751,0,Inf,281.5833333
53013,-1676918.72451,1177183.892378,0,Inf,278.1428571
53015,-2036695.17908,1259507.64703,0,Inf,263.32
53017,-1771892.39705,1363482.951415,2,Inf,256.4
53019,-1665979.706,1420948.993965,0,Inf,300.4318182
53021,-1745707.99579,1220813.524903,0,Inf,253.5416667
53023,-1646013.96257,1186136.535716,0,Inf,289.8666667
53025,-1768172.53328,1302715.634642,19,Inf,261.7962963
53027,-2087078.02147,1384975.025015,0,Inf,280.0526316
53029,-1968905.33372,1466025.824063,0,Inf,249.6666667
53031,-2053115.64,1444275.061627,1,Inf,261.0285714
53033,-1933021.54454,1379813.47548,25,Inf,277.8157895
53035,-1992771.84661,1410359.358792,0,Inf,251.5
53037,-1861658.04516,1318134.329768,3,Inf,285.6041667
53039,-1904187.5331,1186302.499048,15,Inf,291.8055556
53041,-2002660.76643,1293936.679401,0,Inf,282.9361702
53043,-1682298.24326,1323656.853772,0,Inf,305.1702128
53045,-2037836.02912,1392590.568142,0,Inf,275.35
53047,-1752429.40706,1451662.596829,6,Inf,287.8039216
53049,-2100901.2518,1319780.467419,0,Inf,296.5263158
53051,-1574383.76084,1407343.900605,5,Inf,309.8846154
53053,-1970954.94729,1337675.203527,0,Inf,267.9722222
53055,-1983063.95718,1517646.618851,20,Inf,271
53057,-1895423.20621,1482048.135144,46,Inf,262.5625
53059,-1984841.50236,1224808.744265,32,Inf,280.0882353
53061,-1909242.20617,1436437.402064,3,Inf,262.7142857
53063,-1606121.55345,1310765.876701,3,Inf,285.6764706
53065,-1619779.27298,1400919.426384,0,Inf,306.2653061
53067,-2025683.0978,1340197.042703,0,Inf,276.2666667
53069,-2088860.97413,1286255.90926,0,Inf,284.6
53071,-1722734.46274,1180195.138452,0,Inf,267
53073,-1886822.91052,1519337.488381,5,Inf,287.0714286
53075,-1632946.40253,1236136.736234,0,Inf,295.0697674
53077,-1883971.31938,1247106.552512,5,Inf,284.5121951
54001,1363196.147586,297415.493791,0,Inf,221.1666667
54003,1522241.855185,363559.182117,39,Inf,222.4
54005,1240353.469555,151706.43718,0,Inf,207.4
54007,1310247.800697,239569.244077,0,Inf,221.625
54009,1293738.220369,416142.21963,0,Inf,215
54011,1186200.820131,187840.310055,0,Inf,211.8333333
