"","d","theta","rho","offsets","logsdcounty","logsdyears","dgr","thetagr","rhogr","offsetsgr","logsdcountygr","logsdyearsgr"
"87",60,1.25,0.25,0.01,0,0,8.66367389935785e-36,4.55002704575371e-34,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"88",85,1.25,0.25,0.01,0,0,2.32273432333786e-49,1.68441087548533e-47,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"89",110,1.25,0.25,0.01,0,0,6.22725970469824e-63,5.76136401304953e-61,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"90",135,1.25,0.25,0.01,0,0,1.66953073539784e-76,1.87853006734802e-74,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"91",160,1.25,0.25,0.01,0,0,4.47601835898215e-90,5.93155004810097e-88,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"92",10,1.5,0.25,0.01,0,0,2.85965628346078e-10,2.99945000773449e-09,-0.671863651210343,15.1679017729676,-42.8779997700528,26.2134089050444
"93",35,1.5,0.25,0.01,0,0,1.48003083926965e-26,4.01909991566312e-25,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"94",60,1.5,0.25,0.01,0,0,7.65998101892319e-43,3.35677077188666e-41,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"95",85,1.5,0.25,0.01,0,0,3.96446531068344e-59,2.39805939562401e-57,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"96",110,1.5,0.25,0.01,0,0,2.05183082840365e-75,1.58310063565717e-73,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"97",135,1.5,0.25,0.01,0,0,1.06193633150027e-91,9.96331830539724e-90,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"98",160,1.5,0.25,0.01,0,0,5.49610989633916e-108,6.07258850904606e-106,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"99",10,1.75,0.25,0.01,0,0,6.48573122040826e-12,5.85050294034828e-11,-0.671863651302955,15.1679017728066,-42.8779997700566,26.2134089049885
