"","d","theta","rho","offsets","logsdcounty","logsdyears","gridlikelihood"
"144",85,1,0.5,0.01,-1,-4,1452.77417753187
"145",110,1,0.5,0.01,-1,-4,1452.77417753187
"146",135,1,0.5,0.01,-1,-4,1452.77417753187
"147",160,1,0.5,0.01,-1,-4,1452.77417753187
"148",10,1.25,0.5,0.01,-1,-4,1452.77417752069
"149",35,1.25,0.5,0.01,-1,-4,1452.77417753187
"150",60,1.25,0.5,0.01,-1,-4,1452.77417753187
"151",85,1.25,0.5,0.01,-1,-4,1452.77417753187
"152",110,1.25,0.5,0.01,-1,-4,1452.77417753187
"153",135,1.25,0.5,0.01,-1,-4,1452.77417753187
"154",160,1.25,0.5,0.01,-1,-4,1452.77417753187
"155",10,1.5,0.5,0.01,-1,-4,1452.77417753165
"156",35,1.5,0.5,0.01,-1,-4,1452.77417753187
"157",60,1.5,0.5,0.01,-1,-4,1452.77417753187
"158",85,1.5,0.5,0.01,-1,-4,1452.77417753187
"159",110,1.5,0.5,0.01,-1,-4,1452.77417753187
"160",135,1.5,0.5,0.01,-1,-4,1452.77417753187
"161",160,1.5,0.5,0.01,-1,-4,1452.77417753187
"162",10,1.75,0.5,0.01,-1,-4,1452.77417753186
"163",35,1.75,0.5,0.01,-1,-4,1452.77417753187
"164",60,1.75,0.5,0.01,-1,-4,1452.77417753187
"165",85,1.75,0.5,0.01,-1,-4,1452.77417753187
"166",110,1.75,0.5,0.01,-1,-4,1452.77417753187
"167",135,1.75,0.5,0.01,-1,-4,1452.77417753187
"168",160,1.75,0.5,0.01,-1,-4,1452.77417753187
"169",10,2,0.5,0.01,-1,-4,1452.77417753187
"170",35,2,0.5,0.01,-1,-4,1452.77417753187
"171",60,2,0.5,0.01,-1,-4,1452.77417753187
"172",85,2,0.5,0.01,-1,-4,1452.77417753187
"173",110,2,0.5,0.01,-1,-4,1452.77417753187
"174",135,2,0.5,0.01,-1,-4,1452.77417753187
"175",160,2,0.5,0.01,-1,-4,1452.77417753187
"176",10,2.25,0.5,0.01,-1,-4,1452.77417753187
"177",35,2.25,0.5,0.01,-1,-4,1452.77417753187
"178",60,2.25,0.5,0.01,-1,-4,1452.77417753187
"179",85,2.25,0.5,0.01,-1,-4,1452.77417753187
"180",110,2.25,0.5,0.01,-1,-4,1452.77417753187
"181",135,2.25,0.5,0.01,-1,-4,1452.77417753187
"182",160,2.25,0.5,0.01,-1,-4,1452.77417753187
"183",10,2.5,0.5,0.01,-1,-4,1452.77417753187
"184",35,2.5,0.5,0.01,-1,-4,1452.77417753187
"185",60,2.5,0.5,0.01,-1,-4,1452.77417753187
"186",85,2.5,0.5,0.01,-1,-4,1452.77417753187
"187",110,2.5,0.5,0.01,-1,-4,1452.77417753187
"188",135,2.5,0.5,0.01,-1,-4,1452.77417753187
"189",160,2.5,0.5,0.01,-1,-4,1452.77417753187
"190",10,0.5,0.75,0.01,-1,-4,1451.24942385653
"191",35,0.5,0.75,0.01,-1,-4,1451.25036223712
"192",60,0.5,0.75,0.01,-1,-4,1451.2503622406
"193",85,0.5,0.75,0.01,-1,-4,1451.2503622406
"194",110,0.5,0.75,0.01,-1,-4,1451.2503622406
"195",135,0.5,0.75,0.01,-1,-4,1451.2503622406
"196",160,0.5,0.75,0.01,-1,-4,1451.2503622406
"197",10,0.75,0.75,0.01,-1,-4,1451.25034004535
"198",35,0.75,0.75,0.01,-1,-4,1451.2503622406
"199",60,0.75,0.75,0.01,-1,-4,1451.2503622406
"200",85,0.75,0.75,0.01,-1,-4,1451.2503622406
"201",110,0.75,0.75,0.01,-1,-4,1451.2503622406
"202",135,0.75,0.75,0.01,-1,-4,1451.2503622406
"203",160,0.75,0.75,0.01,-1,-4,1451.2503622406
"204",10,1,0.75,0.01,-1,-4,1451.25036176614
"205",35,1,0.75,0.01,-1,-4,1451.2503622406
"206",60,1,0.75,0.01,-1,-4,1451.2503622406
"207",85,1,0.75,0.01,-1,-4,1451.2503622406
"208",110,1,0.75,0.01,-1,-4,1451.2503622406
"209",135,1,0.75,0.01,-1,-4,1451.2503622406
"210",160,1,0.75,0.01,-1,-4,1451.2503622406
"211",10,1.25,0.75,0.01,-1,-4,1451.25036223095
"212",35,1.25,0.75,0.01,-1,-4,1451.2503622406
"213",60,1.25,0.75,0.01,-1,-4,1451.2503622406
"214",85,1.25,0.75,0.01,-1,-4,1451.2503622406
"215",110,1.25,0.75,0.01,-1,-4,1451.2503622406
"216",135,1.25,0.75,0.01,-1,-4,1451.2503622406
"217",160,1.25,0.75,0.01,-1,-4,1451.2503622406
"218",10,1.5,0.75,0.01,-1,-4,1451.25036224042
"219",35,1.5,0.75,0.01,-1,-4,1451.2503622406
"220",60,1.5,0.75,0.01,-1,-4,1451.2503622406
"221",85,1.5,0.75,0.01,-1,-4,1451.2503622406
"222",110,1.5,0.75,0.01,-1,-4,1451.2503622406
"223",135,1.5,0.75,0.01,-1,-4,1451.2503622406
"224",160,1.5,0.75,0.01,-1,-4,1451.2503622406
"225",10,1.75,0.75,0.01,-1,-4,1451.2503622406
"226",35,1.75,0.75,0.01,-1,-4,1451.2503622406
"227",60,1.75,0.75,0.01,-1,-4,1451.2503622406
"228",85,1.75,0.75,0.01,-1,-4,1451.2503622406
"229",110,1.75,0.75,0.01,-1,-4,1451.2503622406
"230",135,1.75,0.75,0.01,-1,-4,1451.2503622406
"231",160,1.75,0.75,0.01,-1,-4,1451.2503622406
"232",10,2,0.75,0.01,-1,-4,1451.2503622406
"233",35,2,0.75,0.01,-1,-4,1451.2503622406
"234",60,2,0.75,0.01,-1,-4,1451.2503622406
"235",85,2,0.75,0.01,-1,-4,1451.2503622406
"236",110,2,0.75,0.01,-1,-4,1451.2503622406
"237",135,2,0.75,0.01,-1,-4,1451.2503622406
"238",160,2,0.75,0.01,-1,-4,1451.2503622406
"239",10,2.25,0.75,0.01,-1,-4,1451.2503622406
"240",35,2.25,0.75,0.01,-1,-4,1451.2503622406
"241",60,2.25,0.75,0.01,-1,-4,1451.2503622406
"242",85,2.25,0.75,0.01,-1,-4,1451.2503622406
"243",110,2.25,0.75,0.01,-1,-4,1451.2503622406
"244",135,2.25,0.75,0.01,-1,-4,1451.2503622406
"245",160,2.25,0.75,0.01,-1,-4,1451.2503622406
"246",10,2.5,0.75,0.01,-1,-4,1451.2503622406
"247",35,2.5,0.75,0.01,-1,-4,1451.2503622406
"248",60,2.5,0.75,0.01,-1,-4,1451.2503622406
