"","d","theta","rho","offsets","logsdcounty","logsdyears","dgr","thetagr","rhogr","offsetsgr","logsdcountygr","logsdyearsgr"
"330",10,1,0,1.01,0,0,2.27955303172819e-07,3.51785062638311e-06,-0.654123568480266,24.2640053043853,-79.7647131138321,21.7838245884836
"331",35,1,0,1.01,0,0,3.16583040405668e-18,1.28001471320832e-16,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"332",60,1,0,1.01,0,0,4.39668749375347e-29,2.87684912177487e-27,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"333",85,1,0,1.01,0,0,6.10609491050371e-40,5.52187563874398e-38,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"334",110,1,0,1.01,0,0,8.48011033512194e-51,9.78877747379951e-49,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"335",135,1,0,1.01,0,0,1.17771296302875e-61,1.65388816138469e-59,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"336",160,1,0,1.01,0,0,1.63560115195837e-72,2.70581088241354e-70,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"337",10,1.25,0,1.01,0,0,5.90312495499761e-09,7.35240364193965e-08,-0.654123674117315,24.2640050966661,-79.7647131242021,21.7838245170188
"338",35,1.25,0,1.01,0,0,1.58263008326982e-22,5.13644242621496e-21,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"339",60,1.25,0,1.01,0,0,4.24303737451421e-36,2.22568967603493e-34,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"340",85,1.25,0,1.01,0,0,1.13755996122154e-49,8.24220255237461e-48,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"341",110,1.25,0,1.01,0,0,3.04980265586864e-63,2.81969822336952e-61,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"342",135,1.25,0,1.01,0,0,8.17653271635513e-77,9.19492838610211e-75,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"343",160,1.25,0,1.01,0,0,2.19213158375924e-90,2.90359017346351e-88,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"344",10,1.5,0,1.01,0,0,1.42987125670047e-10,1.49150821391329e-09,-0.6541236763053,24.2640050923632,-79.7647131244096,21.7838245154737
"345",35,1.5,0,1.01,0,0,7.40037734024729e-27,2.00533450364352e-25,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"346",60,1.5,0,1.01,0,0,3.830105998814e-43,1.67622290266627e-41,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"347",85,1.5,0,1.01,0,0,1.98229242749132e-59,1.19792045472198e-57,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"348",110,1.5,0,1.01,0,0,1.02594634960662e-75,7.90981378866642e-74,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"349",135,1.5,0,1.01,0,0,5.30984176539054e-92,4.97874126245446e-90,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"350",160,1.5,0,1.01,0,0,2.74813781288829e-108,3.03479789516357e-106,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"351",10,1.75,0,1.01,0,0,3.31691949628522e-12,2.97430630115116e-11,-0.654123676348904,24.2640050922756,-79.7647131244136,21.7838245154411
"352",35,1.75,0,1.01,0,0,3.31399117653738e-31,7.70595356446407e-30,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"353",60,1.75,0,1.01,0,0,3.31106544203658e-50,1.24292439045567e-48,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"354",85,1.75,0,1.01,0,0,3.30814229050051e-69,1.71441883892314e-67,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"355",110,1.75,0,1.01,0,0,3.30522171964898e-88,2.18507980732612e-86,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"356",135,1.75,0,1.01,0,0,3.30230372720338e-107,2.65490839984046e-105,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"357",160,1.75,0,1.01,0,0,3.29938831088755e-126,3.12390571934236e-124,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"358",10,2,0,1.01,0,0,7.47055719450994e-14,5.87161210540549e-13,-0.654123676349342,24.264005092274,-79.7647131244137,21.7838245154404
"359",35,2,0,1.01,0,0,1.44088360531169e-35,2.93359160220003e-34,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"360",60,2,0,1.01,0,0,2.77910403467862e-57,9.13204440007979e-56,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"361",85,2,0,1.01,0,0,5.3601964843624e-79,2.43136748537065e-77,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"362",110,2,0,1.01,0,0,1.03384781542706e-100,5.9818094370369e-99,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"363",135,2,0,1.01,0,0,1.99403381682276e-122,1.40299563132627e-120,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"364",160,2,0,1.01,0,0,3.84599242103182e-144,3.18677666324348e-142,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"365",10,2.25,0,1.01,0,0,1.64774510666892e-15,1.15228948950009e-14,-0.654123676349373,24.2640050922739,-79.7647131244137,21.7838245154404
"366",35,2.25,0,1.01,0,0,6.13515336421587e-40,1.11072292621365e-38,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"367",60,2.25,0,1.01,0,0,2.28434037826052e-64,6.67378075779166e-63,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"368",85,2.25,0,1.01,0,0,8.50542872194076e-89,3.42993855139225e-87,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"369",110,2.25,0,1.01,0,0,3.16687996379521e-113,1.6289662227452e-111,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"370",135,2.25,0,1.01,0,0,1.17914440682057e-137,7.37539321236954e-136,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"371",160,2.25,0,1.01,0,0,4.39038279957405e-162,3.23394702059836e-160,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"372",10,2.5,0,1.01,0,0,3.57953532875448e-17,2.25397150718789e-16,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"373",35,2.5,0,1.01,0,0,2.57289186703445e-44,4.19299739100737e-43,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"374",60,2.5,0,1.01,0,0,1.84933851784487e-71,4.86317352574618e-70,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"375",85,2.5,0,1.01,0,0,1.32926416279079e-98,4.82480714901511e-97,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"376",110,2.5,0,1.01,0,0,9.55446067569567e-126,4.42341213958779e-124,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"377",135,2.5,0,1.01,0,0,6.86753779713423e-153,3.86620587984038e-151,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"378",160,2.5,0,1.01,0,0,4.93623627705517e-180,3.2725680299622e-178,-0.654123676349372,24.2640050922739,-79.7647131244137,21.7838245154404
"379",10,0.5,0.25,1.01,0,0,0.000192977842707095,0.00563129133985138,-0.638115630137569,24.319335580823,-79.5974630990646,21.9317966353081
"380",35,0.5,0.25,1.01,0,0,7.19122991757954e-10,5.69408550909067e-08,-0.638322528156195,24.3189739525337,-79.5974820788775,21.9316837004075
"381",60,0.5,0.25,1.01,0,0,2.67992197781476e-15,3.4619491709324e-13,-0.638322528926833,24.3189739511824,-79.5974820789481,21.9316836999865
"382",85,0.5,0.25,1.01,0,0,9.98713973954677e-21,1.78950537292036e-18,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"383",110,0.5,0.25,1.01,0,0,3.72186059903744e-26,8.52979617396411e-24,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"384",135,0.5,0.25,1.01,0,0,1.38700836074377e-31,3.87226337726073e-29,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"385",160,0.5,0.25,1.01,0,0,5.16889910726542e-37,1.70150321516252e-34,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
