"","a","dist","rho","theta","loglikelhood"
"209","0.1","25","0.9","0.6",-1329.98558743434
"210","0.1","25","0.9","0.8",-1330.42955593772
"211","0.1","25","0.9","1",-1330.7706455169
"212","0.1","25","0.9","1.2",-1331.0074242729
"213","0.1","25","0.9","1.4",-1331.16370133517
"214","0.1","25","0.9","1.6",-1331.26391588837
"215","0.1","25","0.9","1.8",-1331.32704898902
"216","0.1","25","0.9","2",-1331.3663706213
"217","0.1","35","0.1","0.6",-1325.10052831832
"218","0.1","35","0.1","0.8",-1326.66714428105
"219","0.1","35","0.1","1",-1327.76164490671
"220","0.1","35","0.1","1.2",-1328.45956466587
"221","0.1","35","0.1","1.4",-1328.88416069824
"222","0.1","35","0.1","1.6",-1329.13551089517
"223","0.1","35","0.1","1.8",-1329.28180205451
"224","0.1","35","0.1","2",-1329.36602355143
"225","0.1","35","0.2","0.6",-1324.38946216076
"226","0.1","35","0.2","0.8",-1325.88095299252
"227","0.1","35","0.2","1",-1326.92331316137
"228","0.1","35","0.2","1.2",-1327.58819754237
"229","0.1","35","0.2","1.4",-1327.99282889248
"230","0.1","35","0.2","1.6",-1328.23244005771
"231","0.1","35","0.2","1.8",-1328.37194501573
"232","0.1","35","0.2","2",-1328.45228553427
"233","0.1","35","0.3","0.6",-1323.82477724327
"234","0.1","35","0.3","0.8",-1325.23167112369
"235","0.1","35","0.3","1",-1326.21540396581
"236","0.1","35","0.3","1.2",-1326.84319501572
"237","0.1","35","0.3","1.4",-1327.22544013878
"238","0.1","35","0.3","1.6",-1327.45190712157
"239","0.1","35","0.3","1.8",-1327.58382502883
"240","0.1","35","0.3","2",-1327.65983358807
"241","0.1","35","0.4","0.6",-1323.44432642872
"242","0.1","35","0.4","0.8",-1324.75445984531
"243","0.1","35","0.4","1",-1325.67116274344
"244","0.1","35","0.4","1.2",-1326.25656031002
"245","0.1","35","0.4","1.4",-1326.61322955446
"246","0.1","35","0.4","1.6",-1326.82468592492
"247","0.1","35","0.4","1.8",-1326.94794299761
"248","0.1","35","0.4","2",-1327.01900934698
"249","0.1","35","0.5","0.6",-1323.31591721384
"250","0.1","35","0.5","0.8",-1324.51343878683
"251","0.1","35","0.5","1",-1325.35209683452
"252","0.1","35","0.5","1.2",-1325.88811357321
"253","0.1","35","0.5","1.4",-1326.21497882823
"254","0.1","35","0.5","1.6",-1326.40893566219
"255","0.1","35","0.5","1.8",-1326.52209218491
"256","0.1","35","0.5","2",-1326.58739219006
"257","0.1","35","0.6","0.6",-1323.55941425574
"258","0.1","35","0.6","0.8",-1324.62309532246
"259","0.1","35","0.6","1",-1325.3688858365
"260","0.1","35","0.6","1.2",-1325.84607589426
"261","0.1","35","0.6","1.4",-1326.13739533565
"262","0.1","35","0.6","1.6",-1326.3104570775
"263","0.1","35","0.6","1.8",-1326.41153951625
"264","0.1","35","0.6","2",-1326.46993928966
"265","0.1","35","0.7","0.6",-1324.39633952138
"266","0.1","35","0.7","0.8",-1325.2965772679
"267","0.1","35","0.7","1",-1325.92873291574
"268","0.1","35","0.7","1.2",-1326.33380435592
"269","0.1","35","0.7","1.4",-1326.58146236318
"270","0.1","35","0.7","1.6",-1326.72880836002
"271","0.1","35","0.7","1.8",-1326.81500206247
"272","0.1","35","0.7","2",-1326.86487637719
"273","0.1","35","0.8","0.6",-1326.27465079172
"274","0.1","35","0.8","0.8",-1326.96764928758
"275","0.1","35","0.8","1",-1327.45528924708
"276","0.1","35","0.8","1.2",-1327.76837637069
"277","0.1","35","0.8","1.4",-1327.96018514106
"278","0.1","35","0.8","1.6",-1328.07453956311
"279","0.1","35","0.8","1.8",-1328.14157452066
"280","0.1","35","0.8","2",-1328.18044516501
"281","0.1","35","0.9","0.6",-1330.25178119251
"282","0.1","35","0.9","0.8",-1330.66649801987
"283","0.1","35","0.9","1",-1330.95919606164
"284","0.1","35","0.9","1.2",-1331.14767092594
"285","0.1","35","0.9","1.4",-1331.26348120812
"286","0.1","35","0.9","1.6",-1331.33273758793
"287","0.1","35","0.9","1.8",-1331.37346224554
"288","0.1","35","0.9","2",-1331.39715124661
"289","0.1","45","0.1","0.6",-1325.71470588047
"290","0.1","45","0.1","0.8",-1327.17922874064
"291","0.1","45","0.1","1",-1328.14282818404
"292","0.1","45","0.1","1.2",-1328.72443969722
"293","0.1","45","0.1","1.4",-1329.06004029427
"294","0.1","45","0.1","1.6",-1329.24865601521
"295","0.1","45","0.1","1.8",-1329.35294009607
"296","0.1","45","0.1","2",-1329.40999350102
"297","0.1","45","0.2","0.6",-1324.97469063184
"298","0.1","45","0.2","0.8",-1326.36897813851
"299","0.1","45","0.2","1",-1327.28666586781
"300","0.1","45","0.2","1.2",-1327.84074858284
"301","0.1","45","0.2","1.4",-1328.16057289717
"302","0.1","45","0.2","1.6",-1328.34038329214
"303","0.1","45","0.2","1.8",-1328.43983247899
"304","0.1","45","0.2","2",-1328.4942586343
"305","0.1","45","0.3","0.6",-1324.37744622882
"306","0.1","45","0.3","0.8",-1325.69268176958
"307","0.1","45","0.3","1",-1326.55876835566
"308","0.1","45","0.3","1.2",-1327.0819522917
"309","0.1","45","0.3","1.4",-1327.38409312318
"310","0.1","45","0.3","1.6",-1327.55404745402
"311","0.1","45","0.3","1.8",-1327.64809271867
"312","0.1","45","0.3","2",-1327.69958698434
"313","0.1","45","0.4","0.6",-1323.95974120901
"314","0.1","45","0.4","0.8",-1325.18458354523
"315","0.1","45","0.4","1",-1325.99168810693
"316","0.1","45","0.4","1.2",-1326.47956540805
"317","0.1","45","0.4","1.4",-1326.76150676218
"318","0.1","45","0.4","1.6",-1326.92020702167
"319","0.1","45","0.4","1.8",-1327.00808456597
"320","0.1","45","0.4","2",-1327.05623429597
"321","0.1","45","0.5","0.6",-1323.78790424712
"322","0.1","45","0.5","0.8",-1324.90755741484
"323","0.1","45","0.5","1",-1325.64599517618
"324","0.1","45","0.5","1.2",-1326.09274997313
"325","0.1","45","0.5","1.4",-1326.35115358869
"326","0.1","45","0.5","1.6",-1326.49673405576
"327","0.1","45","0.5","1.8",-1326.57741871776
"328","0.1","45","0.5","2",-1326.62166655557
"329","0.1","45","0.6","0.6",-1323.97963994246
"330","0.1","45","0.6","0.8",-1324.97427308083
"331","0.1","45","0.6","1",-1325.63100198496
"332","0.1","45","0.6","1.2",-1326.02876698971
"333","0.1","45","0.6","1.4",-1326.25909660434
"334","0.1","45","0.6","1.6",-1326.38901050712
"335","0.1","45","0.6","1.8",-1326.46109588632
"336","0.1","45","0.6","2",-1326.50067378669
"337","0.1","45","0.7","0.6",-1324.75308738604
"338","0.1","45","0.7","0.8",-1325.595026621
