,X1,year,county,yc,incidence,year_c,year_f
60,2242,2013,Douglas-Wisconsin,2013-Douglas-Wisconsin,0,7,2013
61,2236,2014,Douglas-Wisconsin,2014-Douglas-Wisconsin,0,8,2014
62,2205,2015,Douglas-Wisconsin,2015-Douglas-Wisconsin,1,9,2015
63,2212,2016,Douglas-Wisconsin,2016-Douglas-Wisconsin,1,10,2016
64,2496,2017,Douglas-Wisconsin,2017-Douglas-Wisconsin,1,11,2017
65,2206,2018,Douglas-Wisconsin,2018-Douglas-Wisconsin,1,12,2018
66,2796,2006,Iron-Wisconsin,2006-Iron-Wisconsin,0,0,2006
67,2775,2007,Iron-Wisconsin,2007-Iron-Wisconsin,0,1,2007
68,2769,2008,Iron-Wisconsin,2008-Iron-Wisconsin,0,2,2008
69,2765,2009,Iron-Wisconsin,2009-Iron-Wisconsin,0,3,2009
70,2764,2010,Iron-Wisconsin,2010-Iron-Wisconsin,0,4,2010
71,2777,2011,Iron-Wisconsin,2011-Iron-Wisconsin,0,5,2011
72,2762,2012,Iron-Wisconsin,2012-Iron-Wisconsin,0,6,2012
73,2793,2013,Iron-Wisconsin,2013-Iron-Wisconsin,0,7,2013
74,2787,2014,Iron-Wisconsin,2014-Iron-Wisconsin,0,8,2014
75,2756,2015,Iron-Wisconsin,2015-Iron-Wisconsin,1,9,2015
76,2763,2016,Iron-Wisconsin,2016-Iron-Wisconsin,1,10,2016
77,3047,2017,Iron-Wisconsin,2017-Iron-Wisconsin,1,11,2017
78,2757,2018,Iron-Wisconsin,2018-Iron-Wisconsin,1,12,2018
79,3347,2006,Piscataquis-Maine,2006-Piscataquis-Maine,0,0,2006
80,3326,2007,Piscataquis-Maine,2007-Piscataquis-Maine,0,1,2007
81,3320,2008,Piscataquis-Maine,2008-Piscataquis-Maine,0,2,2008
82,3316,2009,Piscataquis-Maine,2009-Piscataquis-Maine,0,3,2009
83,3315,2010,Piscataquis-Maine,2010-Piscataquis-Maine,0,4,2010
84,3328,2011,Piscataquis-Maine,2011-Piscataquis-Maine,0,5,2011
85,3313,2012,Piscataquis-Maine,2012-Piscataquis-Maine,1,6,2012
86,3344,2013,Piscataquis-Maine,2013-Piscataquis-Maine,1,7,2013
87,3338,2014,Piscataquis-Maine,2014-Piscataquis-Maine,1,8,2014
88,3307,2015,Piscataquis-Maine,2015-Piscataquis-Maine,1,9,2015
89,3314,2016,Piscataquis-Maine,2016-Piscataquis-Maine,1,10,2016
90,3598,2017,Piscataquis-Maine,2017-Piscataquis-Maine,1,11,2017
91,3308,2018,Piscataquis-Maine,2018-Piscataquis-Maine,1,12,2018
92,3898,2006,Pine-Minnesota,2006-Pine-Minnesota,0,0,2006
93,3877,2007,Pine-Minnesota,2007-Pine-Minnesota,0,1,2007
94,3871,2008,Pine-Minnesota,2008-Pine-Minnesota,0,2,2008
95,3867,2009,Pine-Minnesota,2009-Pine-Minnesota,0,3,2009
96,3866,2010,Pine-Minnesota,2010-Pine-Minnesota,0,4,2010
97,3879,2011,Pine-Minnesota,2011-Pine-Minnesota,0,5,2011
98,3864,2012,Pine-Minnesota,2012-Pine-Minnesota,0,6,2012
99,3895,2013,Pine-Minnesota,2013-Pine-Minnesota,0,7,2013
100,3889,2014,Pine-Minnesota,2014-Pine-Minnesota,0,8,2014
101,3858,2015,Pine-Minnesota,2015-Pine-Minnesota,0,9,2015
102,3865,2016,Pine-Minnesota,2016-Pine-Minnesota,1,10,2016
103,4149,2017,Pine-Minnesota,2017-Pine-Minnesota,1,11,2017
104,3859,2018,Pine-Minnesota,2018-Pine-Minnesota,1,12,2018
105,4449,2006,Oxford-Maine,2006-Oxford-Maine,0,0,2006
106,4428,2007,Oxford-Maine,2007-Oxford-Maine,0,1,2007
107,4422,2008,Oxford-Maine,2008-Oxford-Maine,0,2,2008
108,4418,2009,Oxford-Maine,2009-Oxford-Maine,0,3,2009
109,4417,2010,Oxford-Maine,2010-Oxford-Maine,1,4,2010
110,4430,2011,Oxford-Maine,2011-Oxford-Maine,1,5,2011
111,4415,2012,Oxford-Maine,2012-Oxford-Maine,1,6,2012
112,4446,2013,Oxford-Maine,2013-Oxford-Maine,1,7,2013
113,4440,2014,Oxford-Maine,2014-Oxford-Maine,1,8,2014
114,4409,2015,Oxford-Maine,2015-Oxford-Maine,1,9,2015
115,4416,2016,Oxford-Maine,2016-Oxford-Maine,1,10,2016
116,4700,2017,Oxford-Maine,2017-Oxford-Maine,1,11,2017
117,4410,2018,Oxford-Maine,2018-Oxford-Maine,1,12,2018
118,5000,2006,Coos-New Hampshire,2006-Coos-New Hampshire,0,0,2006
119,4979,2007,Coos-New Hampshire,2007-Coos-New Hampshire,0,1,2007
120,4973,2008,Coos-New Hampshire,2008-Coos-New Hampshire,0,2,2008
121,4969,2009,Coos-New Hampshire,2009-Coos-New Hampshire,1,3,2009
122,4968,2010,Coos-New Hampshire,2010-Coos-New Hampshire,1,4,2010
123,4981,2011,Coos-New Hampshire,2011-Coos-New Hampshire,1,5,2011
124,4966,2012,Coos-New Hampshire,2012-Coos-New Hampshire,1,6,2012
125,4997,2013,Coos-New Hampshire,2013-Coos-New Hampshire,1,7,2013
126,4991,2014,Coos-New Hampshire,2014-Coos-New Hampshire,1,8,2014
127,4960,2015,Coos-New Hampshire,2015-Coos-New Hampshire,1,9,2015
128,4967,2016,Coos-New Hampshire,2016-Coos-New Hampshire,1,10,2016
129,5251,2017,Coos-New Hampshire,2017-Coos-New Hampshire,1,11,2017
130,4961,2018,Coos-New Hampshire,2018-Coos-New Hampshire,1,12,2018
131,5551,2006,Washington-Minnesota,2006-Washington-Minnesota,0,0,2006
132,5530,2007,Washington-Minnesota,2007-Washington-Minnesota,0,1,2007
133,5524,2008,Washington-Minnesota,2008-Washington-Minnesota,0,2,2008
134,5520,2009,Washington-Minnesota,2009-Washington-Minnesota,0,3,2009
135,5519,2010,Washington-Minnesota,2010-Washington-Minnesota,0,4,2010
136,5532,2011,Washington-Minnesota,2011-Washington-Minnesota,0,5,2011
137,5517,2012,Washington-Minnesota,2012-Washington-Minnesota,0,6,2012
138,5548,2013,Washington-Minnesota,2013-Washington-Minnesota,0,7,2013
139,5542,2014,Washington-Minnesota,2014-Washington-Minnesota,0,8,2014
140,5511,2015,Washington-Minnesota,2015-Washington-Minnesota,1,9,2015
141,5518,2016,Washington-Minnesota,2016-Washington-Minnesota,1,10,2016
142,5802,2017,Washington-Minnesota,2017-Washington-Minnesota,1,11,2017
143,5512,2018,Washington-Minnesota,2018-Washington-Minnesota,1,12,2018
144,6102,2006,Hennepin-Minnesota,2006-Hennepin-Minnesota,0,0,2006
145,6081,2007,Hennepin-Minnesota,2007-Hennepin-Minnesota,0,1,2007
146,6075,2008,Hennepin-Minnesota,2008-Hennepin-Minnesota,0,2,2008
147,6071,2009,Hennepin-Minnesota,2009-Hennepin-Minnesota,0,3,2009
148,6070,2010,Hennepin-Minnesota,2010-Hennepin-Minnesota,0,4,2010
149,6083,2011,Hennepin-Minnesota,2011-Hennepin-Minnesota,0,5,2011
150,6068,2012,Hennepin-Minnesota,2012-Hennepin-Minnesota,0,6,2012
151,6099,2013,Hennepin-Minnesota,2013-Hennepin-Minnesota,0,7,2013
152,6093,2014,Hennepin-Minnesota,2014-Hennepin-Minnesota,0,8,2014
153,6062,2015,Hennepin-Minnesota,2015-Hennepin-Minnesota,0,9,2015
154,6069,2016,Hennepin-Minnesota,2016-Hennepin-Minnesota,1,10,2016
155,6353,2017,Hennepin-Minnesota,2017-Hennepin-Minnesota,1,11,2017
156,6063,2018,Hennepin-Minnesota,2018-Hennepin-Minnesota,1,12,2018
