"","dseq","thetaseq","rhoseq","offsetseq","logsdcountyseq","logsdyearsseq","X","d","theta","rho","offsets","logsdcounty","logsdyears","optimll"
"55",110,1.5,0.5,1.01,0,0,55,4.69689338291696,1.47516887653148,-0.641004911481789,-3.67410669816136,-0.960700883826827,-7.23390314035084,1318.30557901907
"56",160,1.5,0.5,1.01,0,0,56,5.07315738938557,1.48554893600053,-0.641003992440747,-3.67410554468574,-0.960699727887874,-7.22918934125431,1318.30558348981
"57",10,2.5,0.5,1.01,0,0,57,2.30251634599429,2.49977836238538,-0.641003403902556,-3.67410478910834,-0.960699059728739,-7.22720067977343,1318.30558803951
"58",60,2.5,0.5,1.01,0,0,58,4.09434378279926,2.49999692858158,-0.641003398936514,-3.67410478238515,-0.960699055628454,-7.22720375777128,1318.30558811387
"59",110,2.5,0.5,1.01,0,0,59,4.70048019452757,2.49999928358446,-0.641003398894638,-3.67410478232793,-0.96069905559511,-7.22720378661222,1318.30558811452
"60",160,2.5,0.5,1.01,0,0,60,5.07517374811417,2.499999709173,-0.641003398885812,-3.67410478231625,-0.96069905558721,-7.22720379523746,1318.30558811466
"61",10,0.5,0.99,1.01,0,0,61,-10.7159188750448,0.5607749101,-1.76719575148304,-7.07342691955341,0.409470458694141,-0.376267741357598,968.721030564263
"62",60,0.5,0.99,1.01,0,0,62,-10.715857967554,0.560781649999696,-1.76716743858921,-7.07352513491176,0.409465128951821,-0.376268085503608,968.721172671316
"63",110,0.5,0.99,1.01,0,0,63,-10.7158241457887,0.5607865306997,-1.76721334848979,-7.07349353231281,0.409458228062153,-0.376255006709342,968.721063020918
"64",160,0.5,0.99,1.01,0,0,64,-10.7160256536953,0.56076190401889,-1.76747923522009,-7.07336448906473,0.409423798675975,-0.376267739651598,968.72108641221
"65",10,1.5,0.99,1.01,0,0,65,2.25137156755175,1.21771187490066,-0.642359717796513,-3.67794165245946,-0.972916921497143,-5.03753908210878,1318.30490305988
"66",60,1.5,0.99,1.01,0,0,66,4.08687985782291,1.45133202789697,-0.64149848475734,-3.67337949995993,-0.96098282435689,-6.07812539235768,1318.30569951709
"67",110,1.5,0.99,1.01,0,0,67,4.69606022457784,1.46942806464173,-0.640950746281689,-3.67400854379401,-0.960640857761529,-6.87116447616454,1318.30559429678
"68",160,1.5,0.99,1.01,0,0,68,5.07240994960959,1.48020115103738,-0.640938621658809,-3.67403220359914,-0.960609069757218,-7.09752713145412,1318.30558770235
"69",10,2.5,0.99,1.01,0,0,69,2.30249668028163,2.49971498649997,-0.640929793834264,-3.67402852405811,-0.960650749393116,-6.93289135569224,1318.3056001017
"70",60,2.5,0.99,1.01,0,0,70,4.09434356240291,2.49999606035822,-0.640930220242854,-3.67402907068795,-0.960644019331226,-6.92648598949348,1318.3056005256
"71",110,2.5,0.99,1.01,0,0,71,4.70048014610422,2.4999990810864,-0.640930224277586,-3.67402907570032,-0.960643956646723,-6.92642839886914,1318.30560052944
"72",160,2.5,0.99,1.01,0,0,72,5.0751737291371,2.49999962696996,-0.640930224935392,-3.67402907651828,-0.960643946418136,-6.92641900422944,1318.30560053001
