"","county","year","shareduserfoi","incidence","previousyear","previnf"
"422","Bell-Kentucky","2008",0,0,0,0
"423","Bell-Kentucky","2009",0.0178530323276129,0,0,0
"424","Bell-Kentucky","2010",0.00536964153601607,0,0,0.0178530323276129
"425","Bell-Kentucky","2011",0.538678679961333,0,0,0.00536964153601607
"426","Bell-Kentucky","2012",3.31735592313761,1,0,0.538678679961333
"433","Bennington-Vermont","2007",0,1,0,1.67343718490695
"445","Benton-Arkansas","2007",0,0,0,0.0111152523689697
"446","Benton-Arkansas","2008",0,0,0,0
"447","Benton-Arkansas","2009",0.000568013507429221,0,0,0
"448","Benton-Arkansas","2010",0.000322119412207236,0,0,0.000568013507429221
"449","Benton-Arkansas","2011",0.00657211698412391,0,0,0.000322119412207236
"450","Benton-Arkansas","2012",0.00414611912910757,0,0,0.00657211698412391
"451","Benton-Arkansas","2013",0.00774917279353142,0,0,0.00414611912910757
"452","Benton-Arkansas","2014",0.0115914341284723,0,0,0.00774917279353142
"453","Benton-Arkansas","2015",0.0179223183504928,1,0,0.0115914341284723
"457","Berkshire-Massachusetts","2007",0,1,0,0.0890415165534378
"469","Bexar-Texas","2007",0,0,0,0.0120790752191474
"470","Bexar-Texas","2008",0,0,0,0
"471","Bexar-Texas","2009",6.37881392623568e-05,0,0,0
"472","Bexar-Texas","2010",1.4414896133368e-05,0,0,6.37881392623568e-05
"473","Bexar-Texas","2011",0.000143966452543498,0,0,1.4414896133368e-05
"474","Bexar-Texas","2012",0.881330254654669,0,0,0.000143966452543498
"475","Bexar-Texas","2013",0.66133209005777,0,0,0.881330254654669
"476","Bexar-Texas","2014",0.221216030059106,0,0,0.66133209005777
"477","Bexar-Texas","2015",0.000943089220207455,0,0,0.221216030059106
"478","Bexar-Texas","2016",0.00220345636074931,0,0,0.000943089220207455
"479","Bexar-Texas","2017",0.00459440245540083,0,0,0.00220345636074931
"480","Bexar-Texas","2018",0.337495862893042,1,0,0.00459440245540083
"481","Bibb-Alabama","2007",0,0,0,0.337495862893042
"482","Bibb-Alabama","2008",0,0,0,0
"483","Bibb-Alabama","2009",0.0526584603318432,0,0,0
"484","Bibb-Alabama","2010",0.00160915034388441,0,0,0.0526584603318432
"485","Bibb-Alabama","2011",0.0590458079796481,0,0,0.00160915034388441
"486","Bibb-Alabama","2012",0.10201484506505,0,0,0.0590458079796481
"487","Bibb-Alabama","2013",0.286438984088967,0,0,0.10201484506505
"488","Bibb-Alabama","2014",0.637270699513111,0,0,0.286438984088967
"489","Bibb-Alabama","2015",0.457643247323855,0,0,0.637270699513111
"490","Bibb-Alabama","2016",0.656816226896522,1,0,0.457643247323855
"493","Blair-Pennsylvania","2007",0,0,0,0.38817466682234
"494","Blair-Pennsylvania","2008",0,0,0,0
"495","Blair-Pennsylvania","2009",0.234384120595603,1,0,0
"505","Blanco-Texas","2007",0,0,0,0.349591830456607
"506","Blanco-Texas","2008",0,0,0,0
