"","year","county1","county2","num.shared","incidence","date","inf.counties"
"140","2013-01-01","Hardin","Meade",1,0,2013-01-01,474
"141","2013-01-01","Hardin","Washington",1,0,2013-01-01,474
"142","2013-01-01","Hardin","Haliburton County",1,0,2013-01-01,474
"143","2013-01-01","Hardin","Fairfield",1,0,2013-01-01,474
"144","2013-01-01","Hardin","Wise",1,0,2013-01-01,474
"145","2013-01-01","Hardin","Kings County",1,0,2013-01-01,474
"146","2013-01-01","Hardin","Nipissing District (Part 1 Of)",1,0,2013-01-01,474
"147","2013-01-01","Hardin","Halton Regional Municipality",1,0,2013-01-01,474
"148","2013-01-01","Hardin","Oxford",1,0,2013-01-01,474
"149","2013-01-01","Hardin","Saint John County",1,0,2013-01-01,474
"150","2013-01-01","Hardin","Roanoke",1,0,2013-01-01,474
"151","2013-01-01","Hardin","Crawford",1,0,2013-01-01,474
"152","2013-01-01","Hardin","Monroe",1,0,2013-01-01,474
"153","2013-01-01","Hardin","Montgomery",1,0,2013-01-01,474
"154","2013-01-01","Hardin","Smyth",1,0,2013-01-01,474
"155","2013-01-01","Hardin","Luzerne",1,0,2013-01-01,474
"156","2013-01-01","Hardin","Centre",1,0,2013-01-01,474
"157","2013-01-01","Hardin","Putnam",1,0,2013-01-01,474
"158","2013-01-01","Hardin","Giles",1,0,2013-01-01,474
"159","2013-01-01","Hardin","Hartford",1,0,2013-01-01,474
"160","2013-01-01","Hardin","Hamilton",1,0,2013-01-01,474
"161","2013-01-01","Hardin","Morris",1,0,2013-01-01,474
"162","2013-01-01","Hardin","Orange",1,0,2013-01-01,474
"163","2013-01-01","Hardin","Blair",1,0,2013-01-01,474
"164","2013-01-01","Hardin","Les Collines-De-L'Outaouais",1,0,2013-01-01,474
"165","2013-01-01","Hardin","Greenbrier",1,0,2013-01-01,474
"166","2013-01-01","Hardin","Sullivan",1,0,2013-01-01,474
"167","2013-01-01","Hardin","Hastings County",1,0,2013-01-01,474
"168","2013-01-01","Hardin","Huntingdon",1,0,2013-01-01,474
"169","2013-01-01","Hardin","Hancock",1,0,2013-01-01,474
"170","2013-01-01","Hardin","Clearfield",1,0,2013-01-01,474
"171","2013-01-01","Hardin","Colchester County",1,0,2013-01-01,474
"172","2013-01-01","Hardin","Cuyahoga",1,0,2013-01-01,474
"173","2013-01-01","Hardin","Westmorland County",1,0,2013-01-01,474
"174","2013-01-01","Hardin","Franklin",1,0,2013-01-01,474
"175","2013-01-01","Hardin","Ulster",1,0,2013-01-01,474
"176","2013-01-01","Hardin","Bennington",1,0,2013-01-01,474
"177","2013-01-01","Hardin","Rowan",1,0,2013-01-01,474
"178","2013-01-01","York County","Ontonagon",1,1,2013-01-01,474
"179","2013-01-01","York County","Keweenaw",1,1,2013-01-01,474
"180","2013-01-01","York County","Maury",1,1,2013-01-01,474
"181","2013-01-01","York County","York County",1,0,2013-01-01,474
"182","2013-01-01","York County","Hardin",1,1,2013-01-01,474
"183","2013-01-01","York County","Hocking",1,1,2013-01-01,474
"184","2013-01-01","York County","Marion",1,1,2013-01-01,474
"185","2013-01-01","York County","Houghton",1,0,2013-01-01,474
"186","2013-01-01","York County","La Côte-De-Gaspé",1,0,2013-01-01,474
"187","2013-01-01","York County","Phelps",1,0,2013-01-01,474
"188","2013-01-01","York County","St. Louis County",1,0,2013-01-01,474
"189","2013-01-01","York County","Taney",1,0,2013-01-01,474
"190","2013-01-01","York County","Newton",1,0,2013-01-01,474
"191","2013-01-01","York County","Pulaski",1,0,2013-01-01,474
"192","2013-01-01","York County","Lewis",1,0,2013-01-01,474
"193","2013-01-01","York County","Warren",1,0,2013-01-01,474
"194","2013-01-01","York County","Edmonson",1,0,2013-01-01,474
"195","2013-01-01","York County","Lee",1,0,2013-01-01,474
"196","2013-01-01","York County","Rockcastle",1,0,2013-01-01,474
"197","2013-01-01","York County","Carter",1,0,2013-01-01,474
"198","2013-01-01","York County","Letcher",1,0,2013-01-01,474
"199","2013-01-01","York County","Meade",1,0,2013-01-01,474
"200","2013-01-01","York County","Washington",1,0,2013-01-01,474
"201","2013-01-01","York County","Haliburton County",1,0,2013-01-01,474
"202","2013-01-01","York County","Fairfield",1,0,2013-01-01,474
"203","2013-01-01","York County","Wise",1,0,2013-01-01,474
"204","2013-01-01","York County","Kings County",1,0,2013-01-01,474
