Loglikelihood,theta,ID
-1265.6227586451832,2,77
-1265.5986239976137,2,78
-1265.5759859472241,2,79
-1265.5548099095072,2,80
-1265.5350648204783,2,81
-1265.5167226884014,2,82
-1265.4997581470286,2,83
-1265.4841480147447,2,84
-1265.4698708733395,2,85
-1265.456906675003,2,86
-1265.445236384367,2,87
-1265.4348416569535,2,88
-1265.4257045578563,2,89
-1265.4178073223984,2,90
-1265.4111321574192,2,91
-1265.405661078997,2,92
-1265.4013757868422,2,93
-1265.3982575721907,2,94
-1265.3962872544655,2,95
-1265.3954451442974,2,96
-1265.395711022893,2,97
-1265.3970641536787,2,98
-1265.3994832914536,2,99
-1265.4029467157889,2,100
-1265.4074322698025,2,101
-1265.4129174042089,2,102
-1265.4193792289198,2,103
-1265.4267945637966,2,104
-1265.4351399924776,2,105
-1265.44439191804,2,106
-1265.4545266122557,2,107
-1265.4655202683957,2,108
-1265.4773490474104,2,109
-1265.4899891257983,2,110
-1265.503416734712,2,111
-1265.517608201405,2,112
-1265.5325399831515,2,113
-1265.5481887017474,2,114
-1265.564531171518,2,115
-1265.5815444271077,2,116
-1265.5992057459157,2,117
-1265.6174926709016,2,118
-1265.636383029806,2,119
-1265.6558549531294,2,120
-1265.6758868834274,2,121
-1265.696457596567,2,122
-1265.7175462093396,2,123
-1265.7391321891998,2,124
-1265.7611953649136,2,125
-1265.78371593438,2,126
-1265.8066744714456,2,127
-1265.8300519322993,2,128
-1265.853829661108,2,129
-1265.8779893956803,2,130
-1265.9025132683594,2,131
-1265.9273838164813,2,132
-1265.952583979434,2,133
-1265.97809710484,2,134
-1266.0039069510349,2,135
-1266.0299976900392,2,136
-1266.0563539072934,2,137
-1266.0829606073376,2,138
-1266.1098032130255,2,139
-1266.136867567933,2,140
-1266.164139938534,2,141
-1266.19160701375,2,142
-1266.2192559073703,2,143
-1266.2470741583888,2,144
-1266.2750497317916,2,145
-1266.303171018757,2,146
-1266.331426837349,2,147
-1266.3598064324135,2,148
-1266.3882994756427,2,149
-1266.4168960640986,2,150
-1266.4455867208217,2,151
-1266.4743623931442,2,152
-1266.5032144517422,2,153
-1266.532134689321,2,154
-1266.561115318451,2,155
-1266.5901489695773,2,156
-1266.619228688827,2,157
-1266.6483479351166,2,158
-1266.6775005763618,2,159
-1266.7066808883046,2,160
-1266.7358835481423,2,161
-1266.7651036318857,2,162
-1266.7943366089899,2,163
-1266.823578339251,2,164
-1266.8528250659713,2,165
-1266.8820734111628,2,166
-1266.9113203679285,2,167
-1266.9405632989904,2,168
-1266.9697999249665,2,169
-1266.9990283200736,2,170
-1267.0282469040026,2,171
-1267.0574544352178,2,172
-1267.0866500026834,2,173
-1267.1158330170404,2,174
-1267.1450032030139,2,175
-1267.1741605914283,2,176
-1267.2033055084994,2,177
-1267.232438566722,2,178
-1267.2615606558875,2,179
-1267.2906729352078,2,180
-1267.3197768202715,2,181
-1267.3488739737506,2,182
-1267.3779662963943,2,183
-1267.4070559163458,2,184
-1267.4361451772018,2,185
-1267.4652366279063,2,186
-1267.494333012539,2,187
-1267.5234372592552,2,188
-1267.5525524692455,2,189
-1267.5816819052816,2,190
-1267.610828981094,2,191
-1267.6399972508239,2,192
-1267.6691903972055,2,193
-1267.6984122213514,2,194
-1267.727666631729,2,195
-1267.7569576328945,2,196
-1267.7862893156182,2,197
-1267.8156658453809,2,198
-1267.8450914530567,2,199
-1267.8745704237488,2,200
NA,1.9,1
-1318.0711236754626,1.9,2
-1293.4625404441667,1.9,3
-1284.8578859735717,1.9,4
-1285.1521214517172,1.9,5
-1282.327340161285,1.9,6
-1280.499936871781,1.9,7
-1279.909535938887,1.9,8
-1279.0425468208527,1.9,9
-1277.4005021041035,1.9,10
-1276.837291265578,1.9,11
-1276.0474145973496,1.9,12
-1275.4289367530778,1.9,13
-1274.8292903356055,1.9,14
-1274.2820234547085,1.9,15
-1273.7670294087186,1.9,16
-1273.143733962957,1.9,17
-1272.7253406480377,1.9,18
-1272.348253849716,1.9,19
-1272.0062682766504,1.9,20
-1271.6932842654414,1.9,21
-1271.4038966983567,1.9,22
-1270.9296566440014,1.9,23
-1270.674103041828,1.9,24
-1270.4318415348314,1.9,25
-1270.201152584712,1.9,26
-1269.9809231720656,1.9,27
-1269.7704656462029,1.9,28
